Cancer Type,Source URL,General Description,Prognosis (Vooruitzichten),Symptoms (Symptomen),Causes (Oorzaken),Treatments (Behandeling)
Borstkanker bij mannen,https://www.kanker.nl/kankersoorten/borstkanker-bij-mannen/algemeen/wat-is-borstkanker-bij-mannen,"Borstkanker bij mannen ontstaat in de borst, bij de linker- of rechtertepel of op beide plekken. Borstkanker heet ook wel mammacarcinoom. Borstkanker komt bij mannen niet vaak voor. De behandeling is bijna hetzelfde als bij vrouwen.","Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is borstkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van borstkanker hangt af van verschillende dingen. Bijvoorbeeld van de soort borstkanker die je hebt en het stadium van de ziekte bij diagnose. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk ook de overlevingscijfers van borstkanker bij mannen .  ",Soms kun je een verandering in je borst voelen of zien. Bijvoorbeeld een knobbeltje of verandering aan je tepel. Lees verder over symptomen van borstkanker bij mannen . ,"Overgewicht, roken en alcohol maken het risico groter om borstkanker te krijgen. Borstkanker bij mannen kan ook ontstaan door erfelijke aanleg. Lees meer over de risicofactoren van borstkanker bij mannen . ","Bij borstkanker zijn verschillende behandelingen mogelijk. Bijvoorbeeld een operatie, bestraling of chemotherapie. Vaak stelt de arts een combinatie van behandelingen voor. Welke behandeling(en) de arts voorstelt, hangt onder andere af van de soort borstkanker en het stadium van de ziekte. Lees verder over behandelingen bij borstkanker ."
Botkanker (botsarcoom),https://www.kanker.nl/kankersoorten/botkanker-botsarcoom/algemeen/wat-is-botkanker-botsarcoom,Botkanker een zeldzame soort kanker. De kanker ontstaat in een bot. Dat kan in elk bot zijn. Een andere naam voor botkanker is botsarcoom.,"Veel mensen die net te horen hebben gekregen dat ze kanker hebben, willen iets weten over hun vooruitzichten. Wat staat er te gebeuren en hoe lang heb ik nog te leven? Soms is daar iets over te zeggen, maar vaak ook niet. Jouw kans om van botkanker te genezen of om lang zonder veel klachten te leven,  hangt af van verschillende dingen. Bijvoorbeeld van de soort botkanker , hoe groot de tumor is, of er uitzaaiingen zijn en of de behandeling goed aanslaat. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen.","Van botkanker heb je in het begin niet zoveel klachten. Als de tumor groter wordt, kun je klachten krijgen. Bijvoorbeeld pijn aan een bot of gewricht. Lees verder over de symptomen bij botkanker .","Iedereen kan botkanker krijgen. Bij sommige soorten botkanker zijn er risicofactoren waardoor de kans dat je kanker krijgt, groter is. Bijvoorbeeld door de aandoening Li-frauminisyndroom (LFS) .","Veel mensen met botkanker krijgen een operatie. De chirurg verwijdert dan de tumor uit het bot. Je krijgt soms voor of na de operatie bestraling of chemotherapie. Welke behandeling je precies krijgt, hoor je van je arts. Dat ligt aan de soort botkanker , hoe groot de tumor is en of er uitzaaiingen zijn. Lees verder over de behandeling van botkanker ."
Buikvlieskanker,https://www.kanker.nl/kankersoorten/buikvlieskanker/algemeen/wat-is-buikvlieskanker,Bij buikvlieskanker zitten er kankercellen op het buikvlies. Vaak zijn dit uitzaaiingen van kanker op een andere plek in je lichaam. Soms gaat het om pseudomyxoma peritonei of mesothelioom.,N/A,N/A,N/A,N/A
Darmkanker (dikkedarmkanker),https://www.kanker.nl/kankersoorten/darmkanker-dikkedarmkanker/algemeen/wat-is-darmkanker-dikkedarmkanker,"Darmkanker is kanker die in de darmen is ontstaan. Meestal zit darmkanker in de dikke darm. Het heet dan dikkedarmkanker of coloncarcinoom, maar mensen noemen het vaak darmkanker.",De prognose van darmkanker verschilt per persoon. Het maakt ook uit hoe ernstig de ziekte is: hoe groot de tumor is en of er uitzaaiingen zijn. Gemiddeld leven tien jaar na de diagnose dikkedarmkanker nog ongeveer 60 van de 100 mensen. Stel je vragen over je vooruitzichten aan je arts. Bekijk de overlevingscijfers van darmkanker .,"Als je een tumor in je darmen hebt, kan dat allerlei klachten geven. Een van de symptomen van darmkanker is bloed of slijm bij je ontlasting. Ook kun je last krijgen van verstopping door een tumor in de darm. Soms heb je helemaal geen klachten, maar wordt darmkanker ontdekt door het bevolkingsonderzoek of een ander onderzoek. De meest voorkomende klachten bij darmkanker: bloed en/of slijm in je ontlasting een verandering in je ontlasting die niet overgaat het gevoel dat je moet poepen, ook al moet je niet, of het gevoel dat de darm niet helemaal leeg is na het poepen afvallen zonder reden vermoeidheid die niet overgaat (vaak door bloedarmoede) minder zin in eten buikpijn of buikkramp Herken je de symptomen? Maak dan een afspraak bij de huisarts. Als je geen doorverwijzing krijgt, ga opnieuw naar je huisarts als de klachten aanhouden of terugkomen. Ga ook naar de huisarts als er darmkanker in de familie zit. Je kunt met hem of haar bespreken of je een erfelijkheidstest kunt krijgen. Of dat het misschien nodig is dat je een darmonderzoek krijgt. Let op: heb je bloed in je ontlasting? Dan is het altijd verstandig om een afspraak te maken met je huisarts. Bekijk de uitgebreide informatie over de symptomen van darmkanker .","Er is niet één oorzaak van darmkanker. Vaak ontstaat darmkanker uit een poliep in de darmwand . Wel zijn er factoren die de kans op darmkanker kunnen vergroten, zoals erfelijke aanleg voor darmkanker, chronische darmontsteking, veel darmpoliepen en/of een ongezonde leefstijl. Bekijk de uitgebreide informatie over risicofactoren van darmkanker .","Voor darmkanker zijn er verschillende behandelingen. De meeste mensen krijgen een operatie. Maar ook kan de arts chemotherapie voorstellen. Je krijgt soms meerdere behandelingen. Welke behandeling voor jou het meest geschikt is, hoor je van je arts. Bekijk de uitgebreide informatie over de behandeling van darmkanker ."
Dunnedarmkanker,https://www.kanker.nl/kankersoorten/dunnedarmkanker/algemeen/wat-is-dunnedarmkanker,"Dunnedarmkanker is kanker die in de dunne darm ontstaat. Dunnedarmkanker komt niet vaak voor. Omdat dunnedarmkanker vaak pas laat ontdekt wordt, zijn de vooruitzichten meestal niet goed.",N/A,N/A,N/A,N/A
Eierstokkanker,https://www.kanker.nl/kankersoorten/eierstokkanker/algemeen/wat-is-eierstokkanker,Eierstokkanker ontstaat meestal in een eileider. Vandaaruit verspreidt de kanker zich naar de buikholte en de eierstokken. Het medische woord voor kanker op een eierstok is ovariumcarcinoom. Eierstokkanker wordt vaak pas laat ontdekt.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is eierstokkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen. Bijvoorbeeld of er uitzaaiingen zijn en hoe snel de kankercellen groeien en zich delen. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van eierstokkanker .",Van eierstokkanker heb je in het begin geen klachten. Vaak zaait de ziekte snel uit naar de buik. Dan krijg je meestal wel klachten. De symptomen zijn dan: buikpijn een dikkere buik een vol gevoel Lees verder over de symptomen van eierstokkanker .,Eierstokkanker ontstaat waarschijnlijk in de eileider. Er zijn factoren die het risico op eierstokkanker groter maken. Zoals veel eisprongen hebben in je leven. Ongeveer 1 op de 10 vrouwen krijgt de ziekte door een erfelijke aanleg. Lees meer over de oorzaken en risicofactoren van eierstokkanker .,De behandeling van eierstokkanker bestaat meestal uit een operatie en chemotherapie. Soms krijg je ook nog doelgerichte therapie. Lees verder over behandelingen bij eierstokkanker .
Endeldarmkanker,https://www.kanker.nl/kankersoorten/endeldarmkanker/algemeen/wat-is-endeldarmkanker,Endeldarmkanker is kanker die in de endeldarm ontstaat. De endeldarm is het laatste stuk van de dikke darm. De medische naam voor endeldarmkanker is rectumcarcinoom.,De prognose van endeldarmkanker verschilt per persoon. Het maakt ook uit hoe ernstig de ziekte is: hoe groot de tumor is en of er uitzaaiingen zijn. Gemiddeld leven tien jaar na de diagnose endeldarmkanker nog ongeveer 59 van de 100 mensen. Stel je vragen over je vooruitzichten aan je arts. Bekijk de overlevingscijfers van endeldarmkanker . ,"Als je een tumor in je endeldarm hebt, kan dat allerlei klachten geven. Een van de symptomen van endeldarmkanker is bloed of slijm bij je ontlasting. Ook kun je last krijgen van verstopping door een tumor in de darm. Bekijk de uitgebreide informatie over de symptomen van endeldarmkanker . ","Er is niet één oorzaak van endeldarmkanker. Vaak ontstaat de kanker uit een poliep in de darmwand . Wel zijn er factoren die de kans op endeldarmkanker kunnen vergroten, zoals erfelijke aanleg voor darmkanker, chronische darmontsteking, veel darmpoliepen en/of een ongezonde leefstijl. Bekijk de uitgebreide informatie over risicofactoren voor endeldarmkanker . ","Voor endeldarmkanker zijn er verschillende behandelingen. De meeste mensen krijgen een operatie. Ook kan bestraling of chemoradiatie een mogelijke behandeling zijn. Je krijgt soms meerdere behandelingen. Welke behandeling voor jou het meest geschikt is, hoor je van je arts. Bekijk de uitgebreide informatie over de behandelingen bij endeldarmkanker . Bij de behandeling van endeldarmkanker maakt het uit of de tumor alleen in de darm zit, is doorgegroeid of is uitgezaaid. Bekijk de mogelijke behandelingen per stadium . "
Galblaaskanker,https://www.kanker.nl/kankersoorten/galblaaskanker/algemeen/wat-is-galblaaskanker,Galblaaskanker is kanker die ontstaat in de galblaas. Galblaaskanker komt weinig voor. Per jaar krijgen minder dan 200 mensen de diagnose. Een ander woord voor galblaaskanker is galblaascarcinoom.,"Veel mensen gaan op zoek naar wat galblaaskanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Bij galblaaskanker zijn je vooruitzichten meestal niet goed. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van galblaaskanker .","Galblaaskanker geeft in het begin meestal geen klachten. De klachten ontstaan vaak als de tumor groeit en de galwegen dichtdrukt. Dan kun je symptomen krijgen van geelzucht, zoals een gele huid, geel oogwit en jeuk. Bij galblaaskanker kun je ook last krijgen van pijn onder je ribbenboog. Lees verder over symptomen bij galblaaskanker .","Meestal is het niet duidelijk waarom galblaaskanker ontstaat. Er zijn wel risicofactoren die de kans op galblaaskanker groter maken. Bijvoorbeeld als je galstenen hebt, of een galblaasontsteking hebt gehad. Lees verder over de oorzaken en risicofactoren van galblaaskanker .",De meeste mensen met galblaaskanker krijgen chemotherapie of een andere behandeling tegen de klachten van de kanker. Soms krijg je een operatie. Dat kan meestal alleen als de tumor niet in andere organen is gegroeid. En als je geen uitzaaiingen hebt. Lees verder over behandelingen van galblaaskanker .
Galwegkanker,https://www.kanker.nl/kankersoorten/galwegkanker/algemeen/wat-is-galwegkanker,Galwegkanker is kanker die ontstaat in de galwegen. De galwegen zitten in de bovenbuik. Galwegkanker komt weinig voor. Galwegkanker heet ook wel cholangiocarcinoom.,"Veel mensen gaan op zoek naar wat galwegkanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Bij galwegkanker hangen je vooruitzichten af van het stadium van de ziekte . Wil je weten waar je aan toe bent? Vraag het aan je arts of verpleegkundig specialist. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van galwegkanker .","Galwegkanker geeft in het begin meestal geen klachten. De klachten ontstaan vaak als de tumor groeit en de galwegen hierdoor verstopt raken. Dan kun je last krijgen van misselijkheid, jeuk en geelzucht, zoals een gele huid en geel oogwit. Lees verder over symptomen bij galwegkanker .",Meestal is niet duidelijk waarom galwegkanker ontstaat. Er zijn wel risicofactoren die de kans op galwegkanker groter maken. Lees verder over de oorzaken en risicofactoren van galwegkanker .,De behandeling van galwegkanker verschilt per persoon. Veel mensen krijgen chemotherapie of een andere behandeling tegen de klachten van de kanker. Soms krijg je een operatie. Dat kan meestal alleen als je geen uitzaaiingen hebt. En als de tumor niet doorgroeit in je grote bloedvaten. Lees verder over behandelingen van galwegkanker .
Gastro-intestinale stromale tumor,https://www.kanker.nl/kankersoorten/gastro-intestinale-stromale-tumor/algemeen/wat-is-gastro-intestinale-stromale-tumor,Een gastro-intestinale stromale tumor (GIST) is een vorm van kanker in de maag of de darmen. De tumor ontstaat in het bindweefsel dat om de organen heen zit. Daarom is het een andere soort kanker dan bijvoorbeeld maagkanker. Een GIST is zeldzaam.,"Veel mensen die net gehoord hebben dat ze kanker hebben, willen iets weten over hun vooruitzichten. Wat staat er te gebeuren en hoe lang heb ik nog te leven? Soms is daar iets over te zeggen, maar soms ook niet. De prognose hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is, of er uitzaaiingen zijn en of de behandeling goed aanslaat. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan je misschien meer vertellen. ",Het is vaak lastig om een GIST zelf te ontdekken. De klachten zijn meestal niet zo duidelijk. Symptomen van een GIST zijn bijvoorbeeld buikpijn of andere buikklachten. Of zwarte ontlasting en bloedarmoede. Bij dit soort klachten denkt de arts misschien eerst aan andere ziektes. Soms wordt een GIST toevallig ontdekt. Lees verder over de symptomen van een GIST . ,Er zijn geen risicofactoren bekend voor een GIST. Een GIST ontstaat meestal door een bepaalde fout in het DNA. Je hebt geen invloed op het wel of niet ontstaan van deze fout. Ook is deze fout bijna nooit erfelijk. Lees verder over oorzaken en risicofactoren van een GIST . ,"De meeste mensen met een GIST krijgen een operatie, samen met doelgerichte therapie. Lees verder over behandelingen bij een GIST . "
Hartkanker,https://www.kanker.nl/kankersoorten/hartkanker/algemeen/wat-is-hartkanker,Hartkanker is kanker die in het hart ontstaat. Hartkanker is heel zeldzaam. Ook uitzaaiingen van een andere soort kanker naar het hart komen heel weinig voor.,Er is erg weinig bekend over hartkanker. En over hoelang je kunt leven met een tumor in het hart. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen.,"De klachten bij hartkanker zijn heel wisselend. Welke klachten je krijgt, hangt af van de plek waar de tumor zit. Symptomen van hartkanker zijn onder andere: pijn op de borst kortademigheid hartkloppingen vermoeidheid misselijkheid of overgeven Goed om te weten: de kans dat je hartkanker hebt, is heel klein. Meestal hebben deze klachten een andere oorzaak.",N/A,"Als je hartkanker hebt, bespreekt de cardioloog met je wat in jouw situatie de beste behandeling is. Meestal is dat een operatie. Je kunt alleen een operatie krijgen als er nog voldoende van je hart overblijft om te kunnen blijven pompen. Daarom krijg je soms eerst chemotherapie en/of bestraling om de tumor kleiner te maken."
