Cancer Type,Source URL,Scrape Date,Content Hash,General Description,Prognosis (Vooruitzichten),Symptoms (Symptomen),Causes (Oorzaken),Treatments (Behandeling),General Description_en,Prognosis (Vooruitzichten)_en,Symptoms (Symptomen)_en,Causes (Oorzaken)_en,Treatments (Behandeling)_en,trustworthiness
Hoofd-halskanker,https://www.kanker.nl/kankersoorten/hoofd-halskanker,2026-05-31 14:55:26,5605d58eb5435608fad477aa51f6f6aee72b922a992a89c1d6d28e7c346b837f,"Hoofd-halskanker is een verzamelnaam van verschillende soorten kanker in het gezicht of in de hals. Zoals keelkanker, mondkanker, strottenhoofdkanker of neuskanker.",,,,,"Head and neck cancer is a collective name for various types of cancer of the face or neck. Such as throat cancer, mouth cancer, larynx cancer or nose cancer.",,,,,4.9
Huidkanker,https://www.kanker.nl/kankersoorten/huidkanker,2026-05-31 14:55:27,d7f3c831f92272ac4b88cf9650559b3fd8b99ea1ecbb1417f8bf7b1b3c673435,"Een vlekje, plekje of knobbeltje op je huid dat er anders uitziet dan normaal. Is het onschuldig of is het huidkanker? Lees hoe je huidkanker kunt herkennen en welke soorten huidkanker er zijn.",De vooruitzichten bij huidkanker zijn goed. Bijna alle mensen met een basaalcelcarcinoom worden weer beter. Tien jaar na de diagnose zijn 9 van de 10 mensen met een melanoom of een plaveiselcelcarcinoom nog in leven.,"Bij de meeste mensen met huidkanker gaat het om een basaalcelcarcinoom. Als je een basaalcelcarcinoom hebt, is dat meestal op een plaats die veel in de zon is geweest. Zoals je gezicht, je handen en je onderarmen. Een basaalcelcarcinoom lijkt in het begin vaak op iets anders. Bijvoorbeeld op een glad knobbeltje of zweertje. Soms lijkt het op een plekje met eczeem of ziet het er uit als een moedervlek. Een basaalcelcarcinoom doet geen pijn en jeukt niet.",,"Welke behandeling je krijgt, ligt aan de soort huidkanker die je hebt. Als het kan, verwijdert de arts de huidkanker door het plekje helemaal weg te snijden. Andere behandelingen die je kunt krijgen zijn bijvoorbeeld bestraling of een behandeling met een crème of tabletten. Lees meer over de behandeling van basaalcelcarcinoom . Lees meer over de behandeling van plaveiselcelcarcinoom . Lees meer over de behandeling van melanoom .","A spot, spot or lump on your skin that looks different than normal. Is it harmless or is it skin cancer? Read how you can recognize skin cancer and what types of skin cancer there are.","The prospects for skin cancer are good. Almost all people with basal cell carcinoma get better again. Ten years after diagnosis, 9 out of 10 people with melanoma or squamous cell carcinoma are still alive.","Most people with skin cancer have basal cell carcinoma. If you have a basal cell carcinoma, it is usually in a place that has been in the sun a lot. Like your face, your hands and your forearms. A basal cell carcinoma often looks like something else at first. For example on a smooth lump or ulcer. Sometimes it looks like a spot of eczema or looks like a mole. Basal cell carcinoma does not hurt or itch.",,"The treatment you receive depends on the type of skin cancer you have. If possible, the doctor will remove the skin cancer by cutting the spot completely. Other treatments you can receive include radiation or treatment with a cream or tablets. Read more about the treatment of basal cell carcinoma. Read more about the treatment of squamous cell carcinoma. Read more about the treatment of melanoma.",4.9
Gastro-intestinale stromale tumor,https://www.kanker.nl/kankersoorten/gastro-intestinale-stromale-tumor,2026-05-31 14:55:18,fd6937b72639665df335c40d785b71afe41c3c3e7b89dd7b719094840c8b9117,Een gastro-intestinale stromale tumor (GIST) is een vorm van kanker in de maag of de darmen. De tumor ontstaat in het bindweefsel dat om de organen heen zit. Daarom is het een andere soort kanker dan bijvoorbeeld maagkanker. Een GIST is zeldzaam.,"Veel mensen die net gehoord hebben dat ze kanker hebben, willen iets weten over hun vooruitzichten. Wat staat er te gebeuren en hoe lang heb ik nog te leven? Soms is daar iets over te zeggen, maar soms ook niet. De prognose hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is, of er uitzaaiingen zijn en of de behandeling goed aanslaat. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan je misschien meer vertellen.",Het is vaak lastig om een GIST zelf te ontdekken. De klachten zijn meestal niet zo duidelijk. Symptomen van een GIST zijn bijvoorbeeld buikpijn of andere buikklachten. Of zwarte ontlasting en bloedarmoede. Bij dit soort klachten denkt de arts misschien eerst aan andere ziektes. Soms wordt een GIST toevallig ontdekt.,Er zijn geen risicofactoren bekend voor een GIST. Een GIST ontstaat meestal door een bepaalde fout in het DNA. Je hebt geen invloed op het wel of niet ontstaan van deze fout. Ook is deze fout bijna nooit erfelijk.,"De meeste mensen met een GIST krijgen een operatie, samen met doelgerichte therapie.","A gastrointestinal stromal tumor (GIST) is a form of cancer in the stomach or intestines. The tumor arises in the connective tissue surrounding the organs. That is why it is a different type of cancer than, for example, stomach cancer. A YEAST is rare.","Many people who have just learned that they have cancer want to know about their prospects. What's going to happen and how long do I have to live? Sometimes there is something to be said about that, but sometimes not. The prognosis depends on several things. For example, how big the tumor is, whether there are metastases and whether the treatment is working well. Do you want to know where you stand? Ask your doctor. He might be able to tell you more.","It is often difficult to discover a GIST yourself. The complaints are usually not so clear. Symptoms of a GIST include abdominal pain or other abdominal complaints. Or black stools and anemia. With these types of complaints, the doctor may first think of other diseases. Sometimes a GIST is discovered by chance.",There are no known risk factors for GIST. A GIST is usually caused by a certain error in the DNA. You have no influence on whether or not this error occurs. This fault is also almost never hereditary.,"Most people with GIST receive surgery, along with targeted therapy.",4.9
Kanker bij kinderen,https://www.kanker.nl/kankersoorten/kanker-bij-kinderen,2026-05-31 14:55:30,17c035e8ea80a041d120c5a1434162cfe4e78be6a157b7be72a2344f26734bab,"Kanker komt ook voor bij kinderen. Kinderkanker is niet een soort kanker, maar een verzamelnaam voor de verschillende kankersoorten bij kinderen. Elk jaar krijgen zo’n 600 kinderen een vorm van kanker. De meeste kinderen genezen van kanker.",,,,,"Cancer also occurs in children. Childhood cancer is not a type of cancer, but a collective name for the different types of cancer in children. Every year, about 600 children develop a form of cancer. Most children recover from cancer.",,,,,4.9
Hodgkinlymfoom,https://www.kanker.nl/kankersoorten/hodgkinlymfoom,2026-05-31 14:55:23,c6d095660bafd1f0d4f4ba512742ac8297a52719231211941457256fcca13d06,Hodgkinlymfoom is een vorm van lymfeklierkanker. De kanker ontstaat in een lymfeklier of in lymfeweefsel. Vanuit daar kunnen de kankercellen zich verspreiden door het lichaam. Hodgkinlymfoom heet ook wel de ziekte van Hodgkin.,"Als je weet dat je hodgkinlymfoom hebt, heb je misschien vragen over je vooruitzichten. Is hodgkinlymfoom goed te behandelen en wat zijn de verwachtingen? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van hodgkinlymfoom hangt af van verschillende dingen. Bijvoorbeeld of de kanker gevoelig is voor de medicijnen. De meeste mensen met hodgkinlymfoom genezen na een behandeling. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van hodgkinlymfoom .","Soms voel je een lymfeklier die groter is dan normaal en merk je zo een hodgkinlymfoom op. Bijvoorbeeld als het lymfoom in je hals zit, in je oksel of in je lies. Maar dat hoeft niet: er zitten ook lymfeklieren dieper in je lichaam, die je niet voelt als ze opgezet zijn. Je kunt ook andere klachten hebben door een hodgkinlymfoom.",Meestal is er geen duidelijke oorzaak van hodgkinlymfoom. Hodgkinlymfoom is ook niet erfelijk.,"Er zijn verschillende behandelingen mogelijk bij een hodgkinlymfoom. De meeste mensen krijgen chemotherapie, soms gecombineerd met bestraling of immunotherapie.","Hodgkin lymphoma is a form of lymphatic cancer. The cancer originates in a lymph node or lymphatic tissue. From there, the cancer cells can spread throughout the body. Hodgkin's lymphoma is also called Hodgkin's disease.","If you know you have Hodgkin's lymphoma, you may have questions about your outlook. Is Hodgkin's lymphoma easy to treat and what are the expectations? Sometimes there is something to be said about that, but sometimes not. The prognosis of Hodgkin lymphoma depends on several things. For example, whether the cancer is sensitive to the medicines. Most people with Hodgkin's lymphoma recover after treatment. Do you want to know where you stand? Ask your doctor. He might be able to tell you more. Or check out Hodgkin lymphoma survival rates.","Sometimes you feel a lymph node that is larger than normal and you notice Hodgkin's lymphoma. For example, if the lymphoma is in your neck, armpit or groin. But that is not necessary: ​​there are also lymph nodes deeper in your body, which you cannot feel when they are swollen. You may also have other complaints due to Hodgkin lymphoma.",Usually there is no clear cause of Hodgkin lymphoma. Hodgkin lymphoma is also not hereditary.,"There are various treatments available for Hodgkin lymphoma. Most people receive chemotherapy, sometimes combined with radiation or immunotherapy.",4.9
Hoge urinewegkanker,https://www.kanker.nl/kankersoorten/hoge-urinewegkanker,2026-05-31 14:55:25,946b8333349737ff0288021712b9e53b0630edb31711f16ff2b61936fec750dd,Hoge urinewegkanker is kanker die ontstaat in 1 of allebei de urineleiders of nierbekkens. Deze soort kanker komt heel weinig voor.,"Begrijpelijk dat je op zoek gaat naar wat kanker betekent voor je vooruitzichten. Is het goed te behandelen? En wat kun je verwachten voor de toekomst? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van hoge urinewegkanker hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is. En of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de cijfers over hoge urinewegkanker .",Hoge urinewegkanker en de behandeling ervan kunnen invloed hebben op je leven. Sommige mensen blijven last houden van de gevolgen van de behandeling. Bijvoorbeeld van vermoeidheid.,Mensen die roken hebben meer kans op hoge urinewegkanker. Er zijn ook chemische stoffen waar sommige mensen mee gewerkt hebben die de kans op hoge urinewegkanker groter maken. Soms is hoge urinewegkanker erfelijk. Dat betekent dat de kans om deze soort kanker te krijgen in jouw familie groter is.,"Zijn er nog geen uitzaaiingen, dan krijgen de meeste mensen een operatie. Is de kanker wel uitgezaaid, dan kan immunotherapie of chemotherapie een behandeling zijn.",Upper urinary tract cancer is cancer that arises in one or both of the ureters or renal pelvis. This type of cancer is very rare.,"It is understandable that you are looking for what cancer means for your prospects. Can it be treated well? And what can you expect for the future? Sometimes there is something to be said about that, but sometimes not. The prognosis of upper urinary tract cancer depends on several things. For example, how big the tumor is. And whether there are any metastases. Do you want to know where you stand? Ask your doctor. He might be able to tell you more. Check out the high urinary tract cancer rates.","Upper urinary tract cancer and its treatment can impact your life. Some people continue to suffer from the effects of the treatment. For example, from fatigue.",People who smoke are more likely to develop upper urinary tract cancer. There are also chemicals that some people have worked with that increase the risk of upper urinary tract cancer. Sometimes upper urinary tract cancer is hereditary. This means that the chance of getting this type of cancer in your family is higher.,"If there are no metastases yet, most people will undergo surgery. If the cancer has spread, immunotherapy or chemotherapy can be a treatment.",4.9
Hersentumoren,https://www.kanker.nl/kankersoorten/hersentumoren,2026-05-31 14:55:22,14c51230a8c516e93700e3367afdb0b75893f2fa900246888053bd009f536ea4,Een hersentumor ontstaat in de hersenen of in de hersenvliezen. Soms zaait zo’n tumor uit naar andere delen van de hersenen of naar het ruggenmerg. Dan is het kanker.,"Begrijpelijk dat je wilt weten wat een hersentumor betekent voor je vooruitzichten. Is de tumor goed te behandelen en wat kan je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van een hersentumor hangt af van verschillende dingen: de soort hersentumor die je hebt de plek van de hersentumor binnen de hersenen de tumorgraad: de snelheid waarmee tumorcellen groeien en zich delen de kenmerken van de tumor: veranderingen in het DNA van de tumor. Je arts kan je hier meer over vertellen.","Als je een hersentumor hebt, kun je verschillende klachten krijgen. Symptomen die veel voorkomen: hoofdpijn die niet overgaat, problemen met denken, veranderingen in persoonlijkheid en gedrag, uitvalsverschijnselen en epileptische aanvallen. Niet iedereen met een hersentumor heeft dezelfde symptomen. Welke klachten iemand heeft, hangt af van: de grootte van de tumor de groeisnelheid de plaats van de tumor","Een belangrijke oorzaak van cognitieve problemen is de tumor zelf. Die kan op hersenweefsel drukken, waardoor (delen van) de hersenen niet goed meer werken. Een andere oorzaak is behandeling met bestraling of chemotherapie. Deze behandelingen kunnen gezond hersenweefsel beschadigen. Ook medicijnen tegen epilepsie kunnen invloed hebben.","De behandeling van een glioom hangt af van: het soort glioom: in welk soort cel is het ontstaan de graad van het glioom de grootte en uitgebreidheid van het glioom de kenmerken van het glioom: veranderingen in het DNA van de tumor Mogelijke behandelingen zijn: een operatie chemoradiatie chemotherapie bestraling medicijnen tegen de klachten van een glioom, zoals epilepsie of hoofdpijn. De behandeling van een glioom graad 2, 3 of 4 heeft als doel om de groei van de tumor te remmen en daardoor klachten te voorkomen of te verminderen. Je kunt er niet van genezen.",A brain tumor arises in the brain or in the meninges. Sometimes such a tumor spreads to other parts of the brain or to the spinal cord. Then it's cancer.,"It is understandable that you want to know what a brain tumor means for your prospects. Is the tumor easy to treat and what can you expect? Sometimes there is something to be said about that, but sometimes not. The prognosis of a brain tumor depends on several things: the type of brain tumor you have the location of the brain tumor within the brain the tumor grade: the speed at which tumor cells grow and divide the characteristics of the tumor: changes in the DNA of the tumor. Your doctor can tell you more about this.","If you have a brain tumor, you can experience various complaints. Common symptoms: headache that does not go away, problems with thinking, changes in personality and behavior, seizures and epileptic seizures. Not everyone with a brain tumor has the same symptoms. The complaints someone has depend on: the size of the tumor, the growth rate, and the location of the tumor","An important cause of cognitive problems is the tumor itself. This can press on brain tissue, causing (parts of) the brain to no longer work properly. Another cause is treatment with radiation or chemotherapy. These treatments can damage healthy brain tissue. Medications for epilepsy can also have an effect.","The treatment of a glioma depends on: the type of glioma: in which type of cell did it originate the grade of the glioma the size and extent of the glioma the characteristics of the glioma: changes in the DNA of the tumor Possible treatments are: surgery chemoradiation chemotherapy radiation medications against the symptoms of a glioma, such as epilepsy or headache. The aim of treating a grade 2, 3 or 4 glioma is to inhibit the growth of the tumor and thereby prevent or reduce symptoms. You can't heal from it.",4.9
Leukemie,https://www.kanker.nl/kankersoorten/leukemie,2026-05-31 14:55:34,8250aa0b849df89cf77539f1684d5992193b9a5a0818f3ec7e1da5b6a3d3261e,Leukemie is kanker van de witte bloedcellen. Het is een verzamelnaam van veel verschillende soorten leukemie. De belangrijkste tweedeling is acute leukemie en chronische leukemie.,De overlevingskansen van leukemie zijn heel verschillend. Ze hangen af van de precieze soort leukemie. Over het algemeen is de prognose van chronische leukemie beter dan de prognose van acute leukemie.,"Bij leukemie gaat er iets mis in het beenmerg bij de aanmaak van bloedcellen. De verschillende soorten bloedcellen zijn nodig voor de bloedstolling, je afweer en het transport van zuurstof naar de cellen. Bij leukemie kunnen verschillende symptomen ontstaan: meer kans op bloedingen blauwe plekken grotere kans op infecties vermoeidheid door bloedarmoede Welke symptomen je kunt krijgen, ligt vooral aan de soort leukemie.","Dat er een fout in het DNA van de stamcellen ontstaat, is meestal toeval. De fouten zijn niet erfelijk, maar in sommige families komt vaker leukemie voor dan gemiddeld. Als je eerder bestraling of chemotherapie hebt gehad, kan de kans op leukemie groter worden. Ook door bepaalde toxische stoffen of radioactieve straling. Leukemie is net als alle andere kankersoorten niet besmettelijk.","Er zijn veel behandelingen mogelijk bij leukemie. Welke behandeling je krijgt, hangt heel sterk af van de soort leukemie die je hebt. Soms moet de behandeling acuut gestart worden en soms is nog lange tijd geen behandeling nodig. Je conditie en fitheid zijn vaak ook belangrijk bij het kiezen van een behandeling, zeker bij acute leukemie.",Leukemia is cancer of the white blood cells. It is a collective name for many different types of leukemia. The main division is acute leukemia and chronic leukemia.,"The chances of survival from leukemia vary greatly. They depend on the exact type of leukemia. In general, the prognosis of chronic leukemia is better than the prognosis of acute leukemia.","In leukemia, something goes wrong in the bone marrow during the production of blood cells. The different types of blood cells are necessary for blood clotting, your immune system and the transport of oxygen to the cells. Various symptoms can arise with leukemia: increased risk of bleeding, bruising, increased risk of infections, fatigue due to anemia. The symptoms you may experience depend mainly on the type of leukemia.","The fact that an error occurs in the DNA of the stem cells is usually a coincidence. The errors are not hereditary, but leukemia occurs more often in some families than average. If you have previously had radiation or chemotherapy, the risk of leukemia may increase. Also due to certain toxic substances or radioactive radiation. Like all other cancers, leukemia is not contagious.","There are many treatments available for leukemia. Which treatment you receive depends very much on the type of leukemia you have. Sometimes treatment must be started acutely and sometimes no treatment is required for a long time. Your condition and fitness are often also important when choosing a treatment, especially for acute leukemia.",4.9
Keelkanker,https://www.kanker.nl/kankersoorten/keelkanker,2026-05-31 14:55:31,9cc0976e8845f7d976671fe220234b09b8035c74f322684da8f17bcfe9a9b17b,Keelkanker is kanker die in de keel ontstaat. Het medische woord is farynxcarcinoom. Farynx betekent keel. Keelkanker komt weinig voor. Per jaar krijgen ongeveer 1000 mensen de diagnose. Dat zijn vooral mannen.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is keelkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van keelkanker hangt af van verschillende dingen. Bijvoorbeeld hoe vroeg de ziekte is ontdekt en wat de oorzaak van de kanker is. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van keelkanker .",Veel mensen met keelkanker hebben in het begin geen klachten. Of wat vage klachten zoals keelpijn en moeite met slikken. Of een verstopte neus.,Deze informatie is gecontroleerd door deskundigen.,"Heb je uitzaaiingen in je longen, je botten of in je lever, dan kun je meestal niet meer genezen. Je kunt vaak nog wel behandelingen krijgen. Die krijg je dan om de kanker te remmen en om klachten te verminderen. Bijvoorbeeld zodat je minder pijn hebt en je bot minder snel breekt door de uitzaaiingen. Welke behandeling je arts voorstelt, hangt af van de plek van de tumor, hoe groot de tumor is en hoeveel uitzaaiingen er zijn. Ook maakt het uit of de kanker in andere organen zit. Kun je een behandeling krijgen? Kijk dan met je arts naar de voordelen en nadelen van de behandeling. En maak samen een keuze die voor jou het beste is. Twijfel je of je de behandeling wel wilt? Vertel dit aan je arts. Ook dan kunnen jullie samen besluiten wat voor jou het beste is.","Throat cancer is cancer that originates in the throat. The medical word is pharyngeal carcinoma. Pharynx means throat. Throat cancer is rare. About 1,000 people are diagnosed each year. These are mainly men.","It's understandable that you want to know more about your prospects. Is throat cancer easy to treat and what can you expect? Sometimes there is something to be said about that, but sometimes not. The prognosis of throat cancer depends on several things. For example, how early the disease was discovered and what the cause of the cancer is. Do you want to know where you stand? Ask your doctor. He might be able to tell you more. Or check out the throat cancer survival rates.",Many people with throat cancer initially have no complaints. Or some vague complaints such as sore throat and difficulty swallowing. Or a stuffy nose.,This information has been checked by experts.,"If you have metastases in your lungs, bones or liver, you usually cannot recover. You can often still receive treatments. You will then receive this to slow down the cancer and reduce symptoms. For example, so that you have less pain and your bone is less likely to break due to metastases. The treatment your doctor suggests depends on the location of the tumor, how big the tumor is and how many metastases there are. It also matters whether the cancer is in other organs. Can you get treatment? Then discuss the advantages and disadvantages of the treatment with your doctor. And make a choice together that is best for you. Are you unsure whether you want the treatment? Tell this to your doctor. You can then decide together what is best for you.",4.9
Huidlymfoom,https://www.kanker.nl/kankersoorten/huidlymfoom,2026-05-31 14:55:27,c98e6e1aa1d11e044f1ec5af3eb8191eff724e24b3c166b5216e0596bcd22daf,In de huid zitten witte bloedcellen. Huidlymfoom ontstaat als de witte bloedcellen in de huid ongeremd gaan delen. Dan krijg je een kwaadaardige plek op de huid: een huidlymfoom.,"De vooruitzichten bij een huidlymfoom hangen vooral af van het soort huidlymfoom. De meeste mensen hebben een langzaam groeiend huidlymfoom. Dan heb je goede vooruitzichten. Je kunt er meestal niet van genezen, maar veel mensen met een langzaam groeiend huidlymfoom kunnen daar oud mee worden. Bij een snel groeiend huidlymfoom zijn je vooruitzichten meestal slechter. Het is lastig om algemene informatie te geven over jouw situatie. De vooruitzichten hangen ook af van je persoonlijke omstandigheden. Heb je vragen? Stel ze dan aan je arts.",Deze informatie is gecontroleerd door deskundigen.,"Een huidlymfoom ontstaat als de lymfocyten, een bepaald soort witte bloedcellen in je huid ongeremd gaan delen en groeien. Meestal komt het dat door een afwijking in het DNA. Soms speelt een infectie mee bij het ontstaan van huidlymfoom.","Er zijn verschillende behandelingen voor huidlymfoom. Welke behandeling je krijgt, verschilt per soort huidlymfoom. Vaak krijg je eerst een hormoonzalf.",The skin contains white blood cells. Skin lymphoma occurs when white blood cells in the skin divide uncontrollably. Then you get a malignant spot on the skin: a skin lymphoma.,"The prospects for skin lymphoma depend mainly on the type of skin lymphoma. Most people have slow-growing cutaneous lymphoma. Then you have good prospects. It usually cannot be cured, but many people with slow-growing skin lymphoma can live to old age with it. With a rapidly growing skin lymphoma, your prospects are usually worse. It is difficult to provide general information about your situation. The prospects also depend on your personal circumstances. Do you have any questions? Then ask your doctor.",This information has been checked by experts.,"Skin lymphoma occurs when lymphocytes, a certain type of white blood cells in your skin, divide and grow unchecked. This is usually due to an abnormality in the DNA. Sometimes an infection plays a role in the development of skin lymphoma.",There are several treatments for skin lymphoma. The treatment you receive differs per type of skin lymphoma. You will often first receive a hormone ointment.,4.9
Lymfeklierkanker,https://www.kanker.nl/kankersoorten/lymfeklierkanker,2026-05-31 14:55:49,4139880478f3422269613779752a1556ead5e6074676ac9894d9b810873156b4,Lymfeklierkanker ontstaat in een lymfeklier of in lymfeweefsel. Vanuit daar kunnen de kankercellen zich verspreiden door het lichaam. Lymfeklierkanker wordt onderverdeeld in hodgkin en non-hodgkin.,,"Er zijn verschillende symptomen van lymfeklierkanker: Een opgezette, dikkere lymfeklier, bijvoorbeeld bij het sleutelbeen. Meestal doet de lymfeklier geen pijn. Afvallen zonder duidelijke reden. Af en aan koorts: de koorts kan komen opzetten en weer weggaan. Erg moe zijn, zonder duidelijke reden. Nachtzweten: vaak zo erg dat je een nieuwe pyjama aan moet, of je bed moet verschonen. Een lymfoom kan ook dieper in je lichaam zitten. Bijvoorbeeld in je maag of longen. Je voelt dan geen opgezette lymfeklier, maar hebt andere klachten, bijvoorbeeld last van je maag of benauwdheid.",,,"Lymph node cancer develops in a lymph node or in lymph tissue. From there, the cancer cells can spread throughout the body. Lymph node cancer is divided into Hodgkin and non-Hodgkin.",,"There are several symptoms of lymphatic cancer: A swollen, thicker lymph node, for example near the collarbone. Usually the lymph node does not hurt. Losing weight for no apparent reason. Off and on fever: the fever can come on and go away. Being very tired, for no apparent reason. Night sweats: often so bad that you have to wear new pajamas or change your bed. A lymphoma can also be deeper in your body. For example in your stomach or lungs. You will not feel a swollen lymph node, but you will have other complaints, such as stomach problems or shortness of breath.",,,4.9
Lipkanker,https://www.kanker.nl/kankersoorten/lipkanker,2026-05-31 14:55:43,948ddf82ef6ef54fd91b3032301715b776d3b16544ed8a513050308bcfd33101,Bij lipkanker zit er een kwaadaardige tumor op je lip. Een kwaadaardige tumor betekent kanker. Lipkanker zit bijna altijd op je onderlip. Het is een vorm van hoofd-halskanker.,Als je kanker hebt schieten allerlei vragen door je hoofd. Word ik weer beter? Hoe lang heb ik nog? Deze video helpt om daarover in gesprek te gaan met je arts en de mensen om je heen.,"Lipkanker begint vaak als een klein, onrustig plekje op je onderlip. Dat kan eruit zien als een wit of rood bultje. Of als een blaar, zweertje, kloof of korstje dat maar niet geneest. Lees meer over hoe je lipkanker kunt herkennen .",Deze informatie is gecontroleerd door deskundigen.,Bij lipkanker kun je verschillende behandelingen krijgen. Bij een kleine tumor stelt de arts meestal een operatie voor. Mensen met een grotere tumor op de lip krijgen vaker een behandeling met inwendige of uitwendige bestraling. Bekijk de uitgebreide informatie over de behandeling van lipkanker .,Lip cancer is a malignant tumor on your lip. A malignant tumor means cancer. Lip cancer is almost always on your lower lip. It is a form of head and neck cancer.,"If you have cancer, all kinds of questions run through your mind. Will I get better again? How long do I have? This video helps you discuss this with your doctor and the people around you.","Lip cancer often starts as a small, restless spot on your lower lip. This may look like a white or red bump. Or if a blister, sore, crack or scab doesn't heal. Read more about how to recognize lip cancer.",This information has been checked by experts.,"There are various treatments available for lip cancer. For a small tumor, the doctor usually suggests surgery. People with a larger tumor on the lip are more likely to receive treatment with internal or external radiation. View the detailed information about the treatment of lip cancer.",4.9
Leverkanker,https://www.kanker.nl/kankersoorten/leverkanker,2026-05-31 14:55:40,db3198d6e56f153c4cf2354b51c868f6c763f92580f2021f6946b5b994b5e80b,"Leverkanker is kanker die in de lever ontstaat. Leverkanker ontstaat meestal als de lever erg beschadigd is geraakt, bijvoorbeeld door een chronische leverziekte.","Veel mensen gaan op zoek naar wat kanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van leverkanker hangt af van verschillende dingen. Bijvoorbeeld van de grootte van de tumor en of er uitzaaiingen zijn. Ook de conditie van je lever speelt een rol. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van leverkanker .",Van leverkanker merk je vaak lange tijd niets. Daarom wordt leverkanker vaak pas laat ontdekt.,Deze informatie is gecontroleerd door deskundigen.,"Bij leverkanker zijn verschillende behandelingen mogelijk. De meeste mensen met leverkanker krijgen een behandeling om de ziekte te remmen en klachten te verminderen, zoals TACE, doelgerichte therapie of TARE. Een leveroperatie kan soms ook een behandeling zijn.","Liver cancer is cancer that originates in the liver. Liver cancer usually occurs when the liver has become severely damaged, for example due to chronic liver disease.","Many people start looking for what cancer means for their prospects. Is this cancer easy to treat and what can I expect? Sometimes there is something to be said about that, but sometimes not. The prognosis of liver cancer depends on several things. For example, the size of the tumor and whether there are metastases. The condition of your liver also plays a role. Do you want to know where you stand? Ask your doctor. He might be able to tell you more. View liver cancer survival rates.",You often don't notice liver cancer for a long time. That is why liver cancer is often discovered late.,This information has been checked by experts.,"Various treatments are possible for liver cancer. Most people with liver cancer receive treatment to slow the disease and reduce symptoms, such as TACE, targeted therapy or TARE. Liver surgery can sometimes also be a treatment.",4.9
Luchtpijpkanker,https://www.kanker.nl/kankersoorten/luchtpijpkanker,2026-05-31 14:55:48,553271fc2c2687775c24b98d04d7ff1a824647805090159a0da5621daee7024d,Luchtpijpkanker is kanker die ontstaat in je luchtpijp. Heel weinig mensen krijgen deze soort kanker. Het medische woord voor luchtpijpkanker is tracheacarcinoom.,"Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is luchtpijpkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van luchtpijpkanker hangt af van verschillende dingen. Bijvoorbeeld wat voor soort luchtpijpkanker je hebt. En of het is uitgezaaid. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen.",Symptomen van luchtpijpkanker kunnen zijn: kortademigheid of veel hoesten. Je kunt ook bloed ophoesten.,We weten niet altijd wat de oorzaak is van luchtpijpkanker. Je loopt meer risico op een plaveiselcelcarcinoom in je luchtpijp als je rookt of hebt gerookt.,"Je kunt verschillende behandelingen krijgen bij luchtpijpkanker. Bijvoorbeeld een operatie, bestraling, chemoradiatie en chemotherapie.",Tracheal cancer is cancer that develops in your trachea. Very few people get this type of cancer. The medical word for tracheal cancer is tracheacarcinoma.,"It is understandable that you want to know more about your prospects. Is tracheal cancer easy to treat and what can you expect? Sometimes there is something to be said about that, but sometimes not. The prognosis of tracheal cancer depends on several things. For example, what type of tracheal cancer you have. And whether it has spread. Do you want to know where you stand? Ask your doctor. He might be able to tell you more.",Symptoms of tracheal cancer may include shortness of breath or frequent coughing. You may also cough up blood.,We don't always know what causes tracheal cancer. You are more at risk of squamous cell carcinoma in your trachea if you smoke or have smoked.,"You can receive various treatments for tracheal cancer. For example, surgery, radiation, chemoradiation and chemotherapy.",4.9
